id,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,latitude,longitude,precisao,altitude,fonte_geografica
GEO000090,AVENIDA,PAULISTA,2095,BELA VISTA,São Paulo,SP,-23.569041,-46.6653,BAIXA,164,IBGE
GEO000091,ALAMEDA,DAS FLORES,3858,JARDIM,Rio de Janeiro,RJ,-22.9056,-43.175472,BAIXA,671,OSM
GEO000092,LARGO,PRESIDENTE VARGAS,500,CENTRO,Rio de Janeiro,RJ,-22.905465,-43.178457,MEDIA,653,OSM
GEO000093,PRAÇA,AMAZONAS,4419,CENTRO,Belo Horizonte,MG,-19.917091,-43.935271,MEDIA,606,OSM
GEO000094,TRAVESSA,DAS FLORES,1843,JARDIM,Rio de Janeiro,RJ,-22.910777,-43.175435,BAIXA,648,GOOGLE
GEO000095,LARGO,VINTE E TRES DE MAIO,4942,LIBERDADE,São Paulo,SP,-23.544936,-46.641948,ALTA,733,IBGE
GEO000096,LARGO,CONSOLACAO,4336,CONSOLACAO,São Paulo,SP,-23.545675,-46.661956,BAIXA,166,GOOGLE
GEO000097,RUA,CONSOLACAO,4408,CONSOLACAO,São Paulo,SP,-23.550368,-46.660572,MEDIA,270,IBGE
GEO000098,RUA,CONSOLACAO,2161,CONSOLACAO,São Paulo,SP,-23.556518,-46.654249,BAIXA,869,OSM
GEO000099,RUA,ATLANTICA,193,COPACABANA,Rio de Janeiro,RJ,-22.970483,-43.182285,MEDIA,345,IBGE
GEO000100,LARGO,NOVE DE JULHO,2845,REPUBLICA,São Paulo,SP,-23.538484,-46.642317,BAIXA,297,IBGE
GEO000101,VIELA,RIO BRANCO,1728,CENTRO,Rio de Janeiro,RJ,-22.904032,-43.175079,ALTA,874,OSM
GEO000102,TRAVESSA,SETEMBRO,432,CENTRO,Rio de Janeiro,RJ,-22.904986,-43.177821,MEDIA,820,IBGE
GEO000103,VIELA,QUINZE DE NOVEMBRO,1845,CENTRO,São Paulo,SP,-23.550447,-46.633299,ALTA,928,OSM
GEO000104,ALAMEDA,OSWALDO CRUZ,4534,BOTAFOGO,Rio de Janeiro,RJ,-22.95974,-43.182219,BAIXA,527,OSM
GEO000105,AVENIDA,AMAZONAS,880,CENTRO,Belo Horizonte,MG,-19.916996,-43.935395,MEDIA,718,IBGE
GEO000106,RUA,BRIGADEIRO FARIA LIMA,3259,ITAM BIBI,São Paulo,SP,-23.577421,-46.690711,BAIXA,495,GOOGLE
GEO000107,AVENIDA,URUGUAIANA,819,CENTRO,Rio de Janeiro,RJ,-22.901786,-43.174191,MEDIA,108,IBGE
GEO000108,AVENIDA,DO OUVIDOR,3719,CENTRO,Rio de Janeiro,RJ,-22.90183,-43.171952,MEDIA,131,GOOGLE
GEO000109,PRAÇA,RIO BRANCO,1248,CENTRO,Rio de Janeiro,RJ,-22.904596,-43.174693,MEDIA,117,GOOGLE
GEO000110,RUA,COPACABANA,3703,COPACABANA,Rio de Janeiro,RJ,-22.969932,-43.184948,MEDIA,443,IBGE
GEO000111,VIELA,VINTE E TRES DE MAIO,2517,LIBERDADE,São Paulo,SP,-23.545055,-46.64253,MEDIA,895,IBGE
GEO000112,VIELA,MARQUES DE ITU,4500,VILA BUARQUE,São Paulo,SP,-23.547617,-46.644067,MEDIA,1000,OSM
GEO000113,PRAÇA,QUINZE DE NOVEMBRO,1413,CENTRO,São Paulo,SP,-23.550631,-46.633548,MEDIA,596,GOOGLE
GEO000114,LARGO,BORGES DE MEDEIROS,1812,CENTRO,Porto Alegre,RS,-30.037521,-51.233239,BAIXA,922,OSM
GEO000115,RUA,DO COMERCIO,1840,SAO JOSE,Recife,PE,-8.059905,-34.87497,ALTA,672,OSM
GEO000116,RUA,DOS ANDRADAS,818,CENTRO,Porto Alegre,RS,-30.030232,-51.222919,BAIXA,361,GOOGLE
GEO000117,LARGO,OSWALDO CRUZ,629,BOTAFOGO,Rio de Janeiro,RJ,-22.940088,-43.198048,BAIXA,624,GOOGLE
GEO000118,TRAVESSA,DO COMERCIO,1154,SAO JOSE,Recife,PE,-8.05997,-34.875002,ALTA,503,IBGE
GEO000119,PRAÇA,SETEMBRO,4842,CENTRO,Rio de Janeiro,RJ,-22.90496,-43.177028,ALTA,987,GOOGLE
GEO000120,TRAVESSA,DA AURORA,1886,BOA VISTA,Recife,PE,-8.063817,-34.881749,MEDIA,774,OSM
GEO000121,VIELA,DAS FLORES,1518,JARDIM,Rio de Janeiro,RJ,-22.904721,-43.188258,BAIXA,736,OSM
GEO000122,VIELA,AFONSO PENA,439,CENTRO,Belo Horizonte,MG,-19.916762,-43.934358,ALTA,547,OSM
GEO000123,PRAÇA,OSWALDO CRUZ,687,BOTAFOGO,Rio de Janeiro,RJ,-22.955691,-43.181379,BAIXA,280,OSM
GEO000124,VIELA,CONSOLACAO,2046,CONSOLACAO,São Paulo,SP,-23.549945,-46.659615,MEDIA,955,GOOGLE
GEO000125,LARGO,W3 SUL,3629,ASA SUL,Brasília,DF,-15.785784,-47.872903,BAIXA,254,OSM
GEO000126,LARGO,SAO JOAO,1188,REPUBLICA,São Paulo,SP,-23.550788,-46.638923,BAIXA,474,GOOGLE
GEO000127,ESTRADA,DO COMERCIO,773,SAO JOSE,Recife,PE,-8.05951,-34.875517,MEDIA,632,OSM
GEO000128,ALAMEDA,AFONSO PENA,4095,CENTRO,Belo Horizonte,MG,-19.916646,-43.934504,ALTA,400,GOOGLE
GEO000129,TRAVESSA,W3 SUL,2473,ASA SUL,Brasília,DF,-15.795119,-47.881784,MEDIA,653,OSM
GEO000130,PRAÇA,QUINZE DE NOVEMBRO,854,CENTRO,São Paulo,SP,-23.557144,-46.629117,BAIXA,41,GOOGLE
GEO000131,ALAMEDA,EIXO MONUMENTAL,2855,ASA NORTE,Brasília,DF,-15.790208,-47.886447,BAIXA,448,GOOGLE
GEO000132,TRAVESSA,DOS ANDRADAS,1829,CENTRO,Porto Alegre,RS,-30.034754,-51.230637,ALTA,686,IBGE
GEO000133,LARGO,EIXO MONUMENTAL,3223,ASA NORTE,Brasília,DF,-15.796047,-47.884049,ALTA,106,GOOGLE
GEO000134,ALAMEDA,BAHIA,2141,CENTRO,Belo Horizonte,MG,-19.918318,-43.936636,MEDIA,787,GOOGLE
GEO000135,ALAMEDA,URUGUAIANA,3285,CENTRO,Rio de Janeiro,RJ,-22.900968,-43.174338,MEDIA,780,OSM
GEO000136,VIELA,PRIMEIRO DE MARÇO,4856,CENTRO,Rio de Janeiro,RJ,-22.903005,-43.176086,ALTA,106,IBGE
GEO000137,PRAÇA,IPIRANGA,1177,REPUBLICA,São Paulo,SP,-23.547059,-46.644789,BAIXA,465,OSM
GEO000138,PRAÇA,DAS FLORES,59,JARDIM,Rio de Janeiro,RJ,-22.910029,-43.179923,ALTA,266,OSM
GEO000139,RUA,BOAVISTA,3971,BOA VIAGEM,Recife,PE,-8.120375,-34.907081,MEDIA,305,GOOGLE
GEO000140,TRAVESSA,PRIMEIRO DE MARÇO,4470,CENTRO,Rio de Janeiro,RJ,-22.903076,-43.176009,ALTA,47,OSM
GEO000141,TRAVESSA,BORGES DE MEDEIROS,1610,CENTRO,Porto Alegre,RS,-30.039277,-51.237471,BAIXA,939,GOOGLE
GEO000142,ALAMEDA,URUGUAIANA,2969,CENTRO,Rio de Janeiro,RJ,-22.900348,-43.173393,MEDIA,554,IBGE
GEO000143,AVENIDA,W3 NORTE,3170,ASA NORTE,Brasília,DF,-15.80122,-47.885708,BAIXA,254,IBGE
GEO000144,AVENIDA,MARQUES DE ITU,3992,VILA BUARQUE,São Paulo,SP,-23.540406,-46.647772,BAIXA,109,GOOGLE
GEO000145,AVENIDA,NOVE DE JULHO,846,REPUBLICA,São Paulo,SP,-23.540884,-46.650348,BAIXA,102,OSM
GEO000146,LARGO,SAO JOAO,1822,REPUBLICA,São Paulo,SP,-23.542791,-46.635264,BAIXA,644,OSM
GEO000147,TRAVESSA,PAULISTA,2568,BELA VISTA,São Paulo,SP,-23.561836,-46.655533,MEDIA,727,OSM
GEO000148,AVENIDA,DO OUVIDOR,1104,CENTRO,Rio de Janeiro,RJ,-22.903631,-43.172005,MEDIA,501,GOOGLE
GEO000149,PRAÇA,PRESIDENTE VARGAS,3156,CENTRO,Rio de Janeiro,RJ,-22.896088,-43.184107,BAIXA,853,OSM
GEO000150,AVENIDA,DO OUVIDOR,3694,CENTRO,Rio de Janeiro,RJ,-22.902803,-43.171958,MEDIA,258,GOOGLE
GEO000151,RUA,DO OUVIDOR,1576,CENTRO,Rio de Janeiro,RJ,-22.900876,-43.179579,BAIXA,579,IBGE
GEO000152,VIELA,ATLANTICA,2142,COPACABANA,Rio de Janeiro,RJ,-22.969035,-43.184441,BAIXA,569,IBGE
GEO000153,RUA,SAO JOAO,1267,REPUBLICA,São Paulo,SP,-23.551098,-46.644584,BAIXA,329,OSM
GEO000154,VIELA,URUGUAIANA,2614,CENTRO,Rio de Janeiro,RJ,-22.900068,-43.173951,MEDIA,951,OSM
GEO000155,TRAVESSA,PAULISTA,4507,BELA VISTA,São Paulo,SP,-23.561559,-46.655518,MEDIA,44,GOOGLE
GEO000156,RUA,DO OUVIDOR,2991,CENTRO,Rio de Janeiro,RJ,-22.912264,-43.165401,BAIXA,883,OSM
GEO000157,RUA,W3 SUL,57,ASA SUL,Brasília,DF,-15.794267,-47.882256,ALTA,199,OSM
GEO000158,ESTRADA,TUPIS,4475,CENTRO,Belo Horizonte,MG,-19.914277,-43.934407,BAIXA,804,GOOGLE
GEO000159,RUA,SETEMBRO,1562,CENTRO,Rio de Janeiro,RJ,-22.905859,-43.17603,MEDIA,555,IBGE
GEO000160,VIELA,COPACABANA,4679,COPACABANA,Rio de Janeiro,RJ,-22.969912,-43.185059,ALTA,724,OSM
GEO000161,VIELA,TUPIS,3208,CENTRO,Belo Horizonte,MG,-19.919027,-43.937086,ALTA,871,IBGE
GEO000162,RUA,COPACABANA,3649,COPACABANA,Rio de Janeiro,RJ,-22.962105,-43.185913,BAIXA,137,IBGE
GEO000163,ALAMEDA,PAULISTA,1268,BELA VISTA,São Paulo,SP,-23.563221,-46.659856,BAIXA,787,OSM
GEO000164,ALAMEDA,IPIRANGA,4783,REPUBLICA,São Paulo,SP,-23.535359,-46.645995,BAIXA,596,IBGE
GEO000165,LARGO,W3 NORTE,2207,ASA NORTE,Brasília,DF,-15.795298,-47.883823,MEDIA,624,OSM
GEO000166,TRAVESSA,SETEMBRO,1965,CENTRO,Rio de Janeiro,RJ,-22.904302,-43.176992,MEDIA,466,GOOGLE
GEO000167,TRAVESSA,SETEMBRO,2151,CENTRO,Rio de Janeiro,RJ,-22.910689,-43.176687,BAIXA,623,GOOGLE
GEO000168,VIELA,PRESIDENTE VARGAS,669,CENTRO,Rio de Janeiro,RJ,-22.915465,-43.181576,BAIXA,932,OSM
GEO000169,LARGO,EIXO MONUMENTAL,2996,ASA NORTE,Brasília,DF,-15.79596,-47.88407,ALTA,419,IBGE
GEO000170,ALAMEDA,RIO BRANCO,4794,CENTRO,Rio de Janeiro,RJ,-22.89884,-43.165386,BAIXA,896,OSM
GEO000171,AVENIDA,MARQUES DE ITU,3512,VILA BUARQUE,São Paulo,SP,-23.550445,-46.640827,BAIXA,667,GOOGLE
GEO000172,ESTRADA,ATLANTICA,3803,COPACABANA,Rio de Janeiro,RJ,-22.969086,-43.17761,BAIXA,98,OSM
GEO000173,PRAÇA,VINTE E TRES DE MAIO,2157,LIBERDADE,São Paulo,SP,-23.544938,-46.641988,ALTA,630,OSM
GEO000174,LARGO,PRIMEIRO DE MARÇO,1325,CENTRO,Rio de Janeiro,RJ,-22.903326,-43.175968,MEDIA,548,OSM
GEO000175,ALAMEDA,DOS ANDRADAS,4808,CENTRO,Porto Alegre,RS,-30.034654,-51.230541,ALTA,178,GOOGLE
GEO000176,ESTRADA,AFONSO PENA,4528,CENTRO,Belo Horizonte,MG,-19.916974,-43.934364,MEDIA,22,OSM
GEO000177,ESTRADA,BORGES DE MEDEIROS,176,CENTRO,Porto Alegre,RS,-30.032245,-51.24055,BAIXA,467,IBGE
GEO000178,AVENIDA,DAS FLORES,4669,JARDIM,Rio de Janeiro,RJ,-22.909272,-43.179071,MEDIA,673,GOOGLE
GEO000179,LARGO,BOA VIAGEM,2634,BOA VIAGEM,Recife,PE,-8.118968,-34.905977,ALTA,338,OSM
GEO000180,PRAÇA,DA AURORA,3455,BOA VISTA,Recife,PE,-8.06296,-34.880991,ALTA,434,OSM
GEO000181,RUA,DO OUVIDOR,852,CENTRO,Rio de Janeiro,RJ,-22.899712,-43.180554,BAIXA,799,GOOGLE
GEO000182,VIELA,CONSOLACAO,1249,CONSOLACAO,São Paulo,SP,-23.556255,-46.657586,BAIXA,699,GOOGLE
GEO000183,LARGO,SAO JOAO,305,REPUBLICA,São Paulo,SP,-23.545905,-46.643031,ALTA,585,IBGE
GEO000184,VIELA,ATLANTICA,3674,COPACABANA,Rio de Janeiro,RJ,-22.971,-43.18166,MEDIA,51,IBGE
GEO000185,LARGO,CONDE DA BOA VISTA,3970,DERBY,Recife,PE,-8.054935,-34.888031,MEDIA,469,IBGE
GEO000186,TRAVESSA,DO COMERCIO,446,SAO JOSE,Recife,PE,-8.065747,-34.876211,BAIXA,685,OSM
GEO000187,RUA,W3 NORTE,775,ASA NORTE,Brasília,DF,-15.795093,-47.882962,ALTA,427,OSM
GEO000188,ALAMEDA,IPIRANGA,3770,REPUBLICA,São Paulo,SP,-23.537594,-46.64839,BAIXA,14,GOOGLE
GEO000189,ESTRADA,NOVE DE JULHO,374,REPUBLICA,São Paulo,SP,-23.544069,-46.641097,ALTA,799,OSM
GEO000190,PRAÇA,DOS ANDRADAS,3742,CENTRO,Porto Alegre,RS,-30.034625,-51.230491,ALTA,568,IBGE
GEO000191,LARGO,QUINZE DE NOVEMBRO,3098,CENTRO,São Paulo,SP,-23.5508,-46.633594,MEDIA,142,GOOGLE
GEO000192,VIELA,BOAVISTA,4567,BOA VIAGEM,Recife,PE,-8.119246,-34.90728,MEDIA,742,GOOGLE
GEO000193,VIELA,AMAZONAS,2191,CENTRO,Belo Horizonte,MG,-19.91695,-43.934684,MEDIA,317,OSM
GEO000194,LARGO,PROTASIO ALVES,914,PETROPOLIS,Porto Alegre,RS,-30.03609,-51.232065,ALTA,360,IBGE
GEO000195,VIELA,NOVE DE JULHO,2172,REPUBLICA,São Paulo,SP,-23.544052,-46.641011,ALTA,521,GOOGLE
GEO000196,ESTRADA,DA AURORA,4793,BOA VISTA,Recife,PE,-8.060466,-34.880826,BAIXA,294,GOOGLE
GEO000197,RUA,TUPIS,2349,CENTRO,Belo Horizonte,MG,-19.915017,-43.939562,BAIXA,336,IBGE
GEO000198,TRAVESSA,DO COMERCIO,1605,SAO JOSE,Recife,PE,-8.060015,-34.874918,ALTA,664,GOOGLE
GEO000199,AVENIDA,PRESIDENTE VARGAS,4281,CENTRO,Rio de Janeiro,RJ,-22.908122,-43.185587,BAIXA,547,IBGE
GEO000200,PRAÇA,BAHIA,2853,CENTRO,Belo Horizonte,MG,-19.922412,-43.942437,BAIXA,537,GOOGLE
GEO000201,TRAVESSA,PRESIDENTE VARGAS,2017,CENTRO,Rio de Janeiro,RJ,-22.906042,-43.177977,ALTA,629,OSM
GEO000202,LARGO,TUPIS,714,CENTRO,Belo Horizonte,MG,-19.928884,-43.944841,BAIXA,710,IBGE
GEO000203,LARGO,DO COMERCIO,3775,SAO JOSE,Recife,PE,-8.060024,-34.874934,ALTA,558,GOOGLE
GEO000204,PRAÇA,DO OUVIDOR,4945,CENTRO,Rio de Janeiro,RJ,-22.903579,-43.173261,MEDIA,700,IBGE
