id_fonte,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,cep,latitude,longitude,confiabilidade
CNEFE000088,PRAÇA,SETEMBRO,868,CENTRO,Rio de Janeiro,RJ,20000-378,-22.905709,-43.177356,0.96
CNEFE000089,ESTRADA,COPACABANA,2644,COPACABANA,Rio de Janeiro,RJ,20000-999,-22.969333,-43.184599,0.97
CNEFE000090,ALAMEDA,COPACABANA,4044,COPACABANA,Rio de Janeiro,RJ,20000-283,-22.969741,-43.184314,0.98
CNEFE000091,TRAVESSA,PRESIDENTE VARGAS,3325,CENTRO,Rio de Janeiro,RJ,20000-224,-22.905362,-43.177017,0.97
CNEFE000092,ALAMEDA,W3 NORTE,2933,ASA NORTE,Brasília,DF,70000-944,-15.79521,-47.882857,0.96
CNEFE000093,PRAÇA,CONSOLACAO,1915,CONSOLACAO,São Paulo,SP,01000-498,-23.549553,-46.65989,0.95
CNEFE000094,RUA,CONSOLACAO,3853,CONSOLACAO,São Paulo,SP,01000-633,-23.549448,-46.659794,0.97
CNEFE000095,VIELA,BOAVISTA,2506,BOA VIAGEM,Recife,PE,50000-907,-8.11945,-34.906756,0.96
CNEFE000096,RUA,W3 NORTE,4608,ASA NORTE,Brasília,DF,70000-725,-15.79507,-47.882741,0.98
CNEFE000097,TRAVESSA,QUINZE DE NOVEMBRO,2693,CENTRO,São Paulo,SP,01000-878,-23.550115,-46.633386,0.97
CNEFE000098,AVENIDA,RIO BRANCO,1690,CENTRO,Rio de Janeiro,RJ,20000-736,-22.904163,-43.174984,0.96
CNEFE000099,RUA,DOS ANDRADAS,3918,CENTRO,Porto Alegre,RS,90000-223,-30.035338,-51.230698,0.97
CNEFE000100,RUA,DOS ANDRADAS,1477,CENTRO,Porto Alegre,RS,90000-766,-30.034408,-51.230143,0.96
CNEFE000101,ALAMEDA,PAULISTA,771,BELA VISTA,São Paulo,SP,01000-637,-23.561106,-46.656029,0.97
CNEFE000102,TRAVESSA,BRIGADEIRO FARIA LIMA,1515,ITAM BIBI,São Paulo,SP,01000-544,-23.583378,-46.690877,0.97
CNEFE000103,AVENIDA,BOA VIAGEM,2540,BOA VIAGEM,Recife,PE,50000-272,-8.119383,-34.906971,0.96
CNEFE000104,ALAMEDA,SAO JOAO,1273,REPUBLICA,São Paulo,SP,01000-784,-23.545478,-46.642895,0.97
CNEFE000105,PRAÇA,DAS FLORES,60,JARDIM,Rio de Janeiro,RJ,20000-415,-22.910685,-43.180441,0.97
CNEFE000106,AVENIDA,BAHIA,967,CENTRO,Belo Horizonte,MG,30000-627,-19.918177,-43.935597,0.97
CNEFE000107,VIELA,AMAZONAS,2245,CENTRO,Belo Horizonte,MG,30000-921,-19.916685,-43.93404,0.95
CNEFE000108,TRAVESSA,SAO JOAO,4417,REPUBLICA,São Paulo,SP,01000-166,-23.546794,-46.64301,0.97
CNEFE000109,ESTRADA,REBOUCAS,2459,PINHEIROS,São Paulo,SP,01000-195,-23.561065,-46.68036,0.98
CNEFE000110,VIELA,OSWALDO CRUZ,624,BOTAFOGO,Rio de Janeiro,RJ,20000-941,-22.949983,-43.189351,0.97
CNEFE000111,VIELA,COPACABANA,2618,COPACABANA,Rio de Janeiro,RJ,20000-285,-22.970946,-43.185601,0.97
CNEFE000112,TRAVESSA,QUINZE DE NOVEMBRO,3935,CENTRO,São Paulo,SP,01000-490,-23.55145,-46.632394,0.96
CNEFE000113,VIELA,AMAZONAS,4915,CENTRO,Belo Horizonte,MG,30000-271,-19.916834,-43.934127,0.96
CNEFE000114,AVENIDA,DA AURORA,4659,BOA VISTA,Recife,PE,50000-954,-8.063533,-34.880925,0.96
CNEFE000115,TRAVESSA,COPACABANA,4988,COPACABANA,Rio de Janeiro,RJ,20000-955,-22.96975,-43.184916,0.97
CNEFE000116,ALAMEDA,BRIGADEIRO FARIA LIMA,1219,ITAM BIBI,São Paulo,SP,01000-487,-23.583433,-46.690389,0.96
CNEFE000117,TRAVESSA,AMAZONAS,2214,CENTRO,Belo Horizonte,MG,30000-306,-19.916653,-43.934975,0.96
CNEFE000118,TRAVESSA,MARQUES DE ITU,1951,VILA BUARQUE,São Paulo,SP,01000-583,-23.546651,-46.643922,0.96
CNEFE000119,VIELA,CONDE DA BOA VISTA,3574,DERBY,Recife,PE,50000-360,-8.055795,-34.887086,0.98
CNEFE000120,PRAÇA,ATLANTICA,2360,COPACABANA,Rio de Janeiro,RJ,20000-355,-22.971374,-43.18167,0.96
CNEFE000121,ESTRADA,EIXO MONUMENTAL,4543,ASA NORTE,Brasília,DF,70000-121,-15.796647,-47.883112,0.96
CNEFE000122,RUA,BAHIA,4732,CENTRO,Belo Horizonte,MG,30000-267,-19.918462,-43.93632,0.98
CNEFE000123,PRAÇA,EIXO MONUMENTAL,4988,ASA NORTE,Brasília,DF,70000-591,-15.795733,-47.883128,0.96
CNEFE000124,VIELA,DO OUVIDOR,2322,CENTRO,Rio de Janeiro,RJ,20000-430,-22.903281,-43.172924,0.96
CNEFE000125,PRAÇA,PRESIDENTE VARGAS,368,CENTRO,Rio de Janeiro,RJ,20000-227,-22.905321,-43.178059,0.96
CNEFE000126,PRAÇA,EIXO MONUMENTAL,2245,ASA NORTE,Brasília,DF,70000-620,-15.795954,-47.884991,0.95
CNEFE000127,ALAMEDA,TUPIS,3293,CENTRO,Belo Horizonte,MG,30000-628,-19.919575,-43.93745,0.97
CNEFE000128,ALAMEDA,AMAZONAS,3744,CENTRO,Belo Horizonte,MG,30000-817,-19.917141,-43.934822,0.95
CNEFE000129,RUA,PRESIDENTE VARGAS,3550,CENTRO,Rio de Janeiro,RJ,20000-187,-22.906085,-43.177293,0.97
CNEFE000130,AVENIDA,NOVE DE JULHO,216,REPUBLICA,São Paulo,SP,01000-320,-23.543758,-46.640184,0.98
CNEFE000131,LARGO,W3 SUL,841,ASA SUL,Brasília,DF,70000-591,-15.794646,-47.881319,0.96
CNEFE000132,RUA,DA AURORA,2775,BOA VISTA,Recife,PE,50000-845,-8.063162,-34.880544,0.95
CNEFE000133,AVENIDA,PROTASIO ALVES,3149,PETROPOLIS,Porto Alegre,RS,90000-399,-30.036155,-51.23296,0.96
CNEFE000134,ESTRADA,NOVE DE JULHO,1675,REPUBLICA,São Paulo,SP,01000-312,-23.543874,-46.640554,0.96
CNEFE000135,VIELA,CONDE DA BOA VISTA,4715,DERBY,Recife,PE,50000-119,-8.054779,-34.887721,0.97
CNEFE000136,PRAÇA,VINTE E TRES DE MAIO,3351,LIBERDADE,São Paulo,SP,01000-824,-23.545352,-46.641181,0.96
CNEFE000137,ESTRADA,BRIGADEIRO FARIA LIMA,2166,ITAM BIBI,São Paulo,SP,01000-914,-23.584031,-46.690378,0.98
CNEFE000138,ESTRADA,EIXO MONUMENTAL,2713,ASA NORTE,Brasília,DF,70000-227,-15.796131,-47.884057,0.97
CNEFE000139,PRAÇA,MARQUES DE ITU,457,VILA BUARQUE,São Paulo,SP,01000-798,-23.546082,-46.643311,0.98
CNEFE000140,LARGO,IPIRANGA,3505,REPUBLICA,São Paulo,SP,01000-873,-23.542922,-46.639257,0.97
CNEFE000141,AVENIDA,DO COMERCIO,3370,SAO JOSE,Recife,PE,50000-355,-8.059251,-34.875398,0.97
CNEFE000142,VIELA,W3 SUL,4582,ASA SUL,Brasília,DF,70000-787,-15.793873,-47.882076,0.98
CNEFE000143,TRAVESSA,DO COMERCIO,156,SAO JOSE,Recife,PE,50000-186,-8.060608,-34.874976,0.97
CNEFE000144,ESTRADA,DAS FLORES,3599,JARDIM,Rio de Janeiro,RJ,20000-486,-22.90946,-43.1793,0.97
CNEFE000145,TRAVESSA,BOAVISTA,13,BOA VIAGEM,Recife,PE,50000-758,-8.120832,-34.906387,0.97
CNEFE000146,LARGO,PROTASIO ALVES,3766,PETROPOLIS,Porto Alegre,RS,90000-485,-30.035281,-51.232705,0.96
CNEFE000147,PRAÇA,DOS ANDRADAS,3400,CENTRO,Porto Alegre,RS,90000-298,-30.035624,-51.231124,0.95
CNEFE000148,ALAMEDA,AMAZONAS,1731,CENTRO,Belo Horizonte,MG,30000-364,-19.917569,-43.935392,0.97
CNEFE000149,TRAVESSA,AGAMENON MAGALHAES,1906,DERBY,Recife,PE,50000-173,-8.049983,-34.889805,0.95
CNEFE000150,VIELA,SETEMBRO,728,CENTRO,Rio de Janeiro,RJ,20000-962,-22.905608,-43.177258,0.96
CNEFE000151,AVENIDA,OSWALDO CRUZ,3658,BOTAFOGO,Rio de Janeiro,RJ,20000-987,-22.950103,-43.19056,0.96
CNEFE000152,ESTRADA,DA AURORA,3388,BOA VISTA,Recife,PE,50000-497,-8.063078,-34.880228,0.98
CNEFE000153,PRAÇA,IPIRANGA,338,REPUBLICA,São Paulo,SP,01000-667,-23.542114,-46.640111,0.97
CNEFE000154,LARGO,BORGES DE MEDEIROS,3067,CENTRO,Porto Alegre,RS,90000-800,-30.034373,-51.23147,0.97
CNEFE000155,PRAÇA,SAO JOAO,1134,REPUBLICA,São Paulo,SP,01000-968,-23.5457,-46.642118,0.97
CNEFE000156,ALAMEDA,REBOUCAS,226,PINHEIROS,São Paulo,SP,01000-902,-23.561108,-46.680081,0.98
CNEFE000157,LARGO,IPIRANGA,2306,REPUBLICA,São Paulo,SP,01000-993,-23.543048,-46.640069,0.95
CNEFE000158,VIELA,SETEMBRO,3828,CENTRO,Rio de Janeiro,RJ,20000-415,-22.905955,-43.176267,0.96
CNEFE000159,AVENIDA,BAHIA,2598,CENTRO,Belo Horizonte,MG,30000-884,-19.918299,-43.936404,0.97
CNEFE000160,RUA,CONSOLACAO,265,CONSOLACAO,São Paulo,SP,01000-147,-23.549697,-46.660584,0.97
CNEFE000161,PRAÇA,VINTE E TRES DE MAIO,3264,LIBERDADE,São Paulo,SP,01000-618,-23.544523,-46.641407,0.96
CNEFE000162,ALAMEDA,SETEMBRO,2814,CENTRO,Rio de Janeiro,RJ,20000-919,-22.905516,-43.177419,0.96
CNEFE000163,TRAVESSA,BOAVISTA,2802,BOA VIAGEM,Recife,PE,50000-305,-8.119691,-34.907155,0.98
CNEFE000164,RUA,URUGUAIANA,111,CENTRO,Rio de Janeiro,RJ,20000-137,-22.900117,-43.17414,0.98
CNEFE000165,AVENIDA,NOVE DE JULHO,575,REPUBLICA,São Paulo,SP,01000-351,-23.544067,-46.640289,0.95
CNEFE000166,PRAÇA,MARQUES DE ITU,3453,VILA BUARQUE,São Paulo,SP,01000-714,-23.54683,-46.643493,0.95
CNEFE000167,PRAÇA,PROTASIO ALVES,659,PETROPOLIS,Porto Alegre,RS,90000-204,-30.035865,-51.231529,0.95
CNEFE000168,LARGO,BOA VIAGEM,2267,BOA VIAGEM,Recife,PE,50000-178,-8.118995,-34.905502,0.96
CNEFE000169,VIELA,MARQUES DE ITU,762,VILA BUARQUE,São Paulo,SP,01000-882,-23.54654,-46.644059,0.97
CNEFE000170,ALAMEDA,AFONSO PENA,3782,CENTRO,Belo Horizonte,MG,30000-521,-19.916645,-43.934106,0.97
CNEFE000171,VIELA,AGAMENON MAGALHAES,4486,DERBY,Recife,PE,50000-825,-8.049658,-34.889283,0.98
CNEFE000172,PRAÇA,DAS FLORES,3311,JARDIM,Rio de Janeiro,RJ,20000-714,-22.909519,-43.179576,0.96
CNEFE000173,AVENIDA,CONDE DA BOA VISTA,2263,DERBY,Recife,PE,50000-818,-8.055966,-34.887716,0.97
CNEFE000174,ESTRADA,BRIGADEIRO FARIA LIMA,4705,ITAM BIBI,São Paulo,SP,01000-608,-23.583617,-46.690993,0.97
CNEFE000175,PRAÇA,AMAZONAS,2280,CENTRO,Belo Horizonte,MG,30000-796,-19.916183,-43.934289,0.98
CNEFE000176,ESTRADA,IPIRANGA,550,REPUBLICA,São Paulo,SP,01000-463,-23.542754,-46.640155,0.96
CNEFE000177,VIELA,COPACABANA,3081,COPACABANA,Rio de Janeiro,RJ,20000-596,-22.970567,-43.185824,0.95
CNEFE000178,AVENIDA,MARQUES DE ITU,2076,VILA BUARQUE,São Paulo,SP,01000-858,-23.547098,-46.644513,0.96
CNEFE000179,ALAMEDA,PROTASIO ALVES,2478,PETROPOLIS,Porto Alegre,RS,90000-102,-30.036321,-51.232478,0.97
CNEFE000180,AVENIDA,REBOUCAS,137,PINHEIROS,São Paulo,SP,01000-864,-23.561345,-46.680475,0.98
CNEFE000181,LARGO,PAULISTA,1849,BELA VISTA,São Paulo,SP,01000-184,-23.560566,-46.657047,0.98
CNEFE000182,VIELA,W3 NORTE,3389,ASA NORTE,Brasília,DF,70000-987,-15.794168,-47.882636,0.96
CNEFE000183,AVENIDA,BORGES DE MEDEIROS,1668,CENTRO,Porto Alegre,RS,90000-178,-30.035042,-51.231809,0.98
CNEFE000184,PRAÇA,PROTASIO ALVES,4212,PETROPOLIS,Porto Alegre,RS,90000-373,-30.035651,-51.232983,0.96
CNEFE000185,AVENIDA,AFONSO PENA,2862,CENTRO,Belo Horizonte,MG,30000-736,-19.916122,-43.934375,0.96
CNEFE000186,ESTRADA,W3 SUL,975,ASA SUL,Brasília,DF,70000-716,-15.793615,-47.882493,0.96
CNEFE000187,RUA,BOA VIAGEM,4730,BOA VIAGEM,Recife,PE,50000-822,-8.119313,-34.905755,0.97
CNEFE000188,VIELA,COPACABANA,2706,COPACABANA,Rio de Janeiro,RJ,20000-631,-22.969167,-43.184058,0.96
CNEFE000189,ESTRADA,PRIMEIRO DE MARÇO,1763,CENTRO,Rio de Janeiro,RJ,20000-974,-22.903246,-43.17631,0.97
CNEFE000190,AVENIDA,PRESIDENTE VARGAS,4488,CENTRO,Rio de Janeiro,RJ,20000-883,-22.905825,-43.178378,0.98
CNEFE000191,AVENIDA,ATLANTICA,2116,COPACABANA,Rio de Janeiro,RJ,20000-293,-22.970924,-43.181236,0.98
CNEFE000192,ESTRADA,NOVE DE JULHO,2554,REPUBLICA,São Paulo,SP,01000-205,-23.544746,-46.640787,0.98
CNEFE000193,TRAVESSA,CONDE DA BOA VISTA,427,DERBY,Recife,PE,50000-853,-8.054852,-34.887511,0.98
CNEFE000194,ESTRADA,PRESIDENTE VARGAS,3869,CENTRO,Rio de Janeiro,RJ,20000-402,-22.906653,-43.17797,0.98
CNEFE000195,VIELA,RIO BRANCO,722,CENTRO,Rio de Janeiro,RJ,20000-185,-22.90302,-43.175409,0.96
CNEFE000196,TRAVESSA,BOAVISTA,443,BOA VIAGEM,Recife,PE,50000-428,-8.119235,-34.907287,0.98
CNEFE000197,ALAMEDA,BRIGADEIRO FARIA LIMA,2432,ITAM BIBI,São Paulo,SP,01000-551,-23.584922,-46.690882,0.95
CNEFE000198,RUA,W3 NORTE,3337,ASA NORTE,Brasília,DF,70000-662,-15.795824,-47.882576,0.96
CNEFE000199,LARGO,MARQUES DE ITU,3333,VILA BUARQUE,São Paulo,SP,01000-824,-23.546673,-46.644374,0.97
CNEFE000200,PRAÇA,AMAZONAS,2487,CENTRO,Belo Horizonte,MG,30000-671,-19.917525,-43.9344,0.95
CNEFE000201,VIELA,QUINZE DE NOVEMBRO,4899,CENTRO,São Paulo,SP,01000-256,-23.550325,-46.634111,0.96
CNEFE000202,AVENIDA,OSWALDO CRUZ,188,BOTAFOGO,Rio de Janeiro,RJ,20000-207,-22.950166,-43.189631,0.96
CNEFE000203,AVENIDA,DO COMERCIO,142,SAO JOSE,Recife,PE,50000-871,-8.059036,-34.875239,0.95
CNEFE000204,ALAMEDA,W3 SUL,1098,ASA SUL,Brasília,DF,70000-226,-15.793894,-47.882902,0.97
CNEFE000205,ESTRADA,AGAMENON MAGALHAES,1245,DERBY,Recife,PE,50000-748,-8.049929,-34.890165,0.97
CNEFE000206,ESTRADA,BORGES DE MEDEIROS,3122,CENTRO,Porto Alegre,RS,90000-682,-30.035288,-51.230724,0.98
CNEFE000207,TRAVESSA,DO COMERCIO,2220,SAO JOSE,Recife,PE,50000-918,-8.059091,-34.875939,0.96
CNEFE000208,TRAVESSA,RIO BRANCO,1140,CENTRO,Rio de Janeiro,RJ,20000-749,-22.903508,-43.175978,0.97
CNEFE000209,LARGO,DA AURORA,403,BOA VISTA,Recife,PE,50000-261,-8.063015,-34.88048,0.97
