id,uid_base,tipo_logradouro,nome_logradouro,numero,bairro,cidade,uf,variacao,descricao_variacao
VAR000029,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"ESTRADA RIO BRANCO, 209",Maiúsculas
VAR000030,UID_RIO_BRANCO_0003,ESTRADA,RIO BRANCO,209,CENTRO,Rio de Janeiro,RJ,"ESTRADA RIO BRANCO, 209, CENTRO",Formato completo
VAR000031,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,praça amazonas 3561 centro,Sem pontuação
VAR000032,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"praça amazonas, 3561",Numeral por extenso
VAR000033,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"praça amazonas, 3561",Numeral romano
VAR000034,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,praça amazonas 3561 centro belo horizonte,Formato sequencial
VAR000035,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"PRAÇA AMAZONAS, 3561",Maiúsculas
VAR000036,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"praça amazonas, 3561",Numeral romano
VAR000037,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"praça amazonas, 3561, bloco A",Com complemento
VAR000038,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"PRAÇA AMAZONAS, 3561, CENTRO",Formato completo
VAR000039,UID_AMAZONAS_0004,PRAÇA,AMAZONAS,3561,CENTRO,Belo Horizonte,MG,"praça amazonas, 3561",Minúsculas
VAR000040,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"viela consolacao, 4237, ao lado da escola",Com referência local
VAR000041,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"VIELA CONSOLACAO, 4237, CONSOLACAO",Formato completo
VAR000042,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"VIELA consolacao, 4237",Abreviação com ponto
VAR000043,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"viela consolacao, 4237, em frente ao banco",Com referência local
VAR000044,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"VIELA CONSOLACAO, 4237",Maiúsculas
VAR000045,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"viela consolacao, 4237",Minúsculas
VAR000046,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"VIELA consolacao, 4237",Abreviação com ponto
VAR000047,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,viela consolacao 4237 consolacao são paulo,Formato sequencial
VAR000048,UID_CONSOLACAO_0005,VIELA,CONSOLACAO,4237,CONSOLACAO,São Paulo,SP,"viela consolacao, 4237, ",Com complemento
VAR000049,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"travessa vinte e tres de maio, 188, bloco A",Com complemento
VAR000050,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"TRAVESSA VINTE E TRES DE MAIO, 188, LIBERDADE",Formato completo
VAR000051,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"travessa vinte e tres de maio, 188, loja 1",Com complemento
VAR000052,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"travessa vinte e tres de maio, 188",Minúsculas
VAR000053,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"TRAVESSA VINTE E TRES DE MAIO, 188",Maiúsculas
VAR000054,UID_VINTE_E_TRES_DE_MAIO_0006,TRAVESSA,VINTE E TRES DE MAIO,188,LIBERDADE,São Paulo,SP,"travessa vinte e tres de maio, 188",Minúsculas
VAR000055,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"praça do ouvidor, 2748, ao lado da escola",Com referência local
VAR000056,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"PRAÇA DO OUVIDOR, 2748, CENTRO",Formato completo
VAR000057,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"PRAÇA DO OUVIDOR, 2748, CENTRO",Formato completo
VAR000058,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,praça do ouvidor 2748 centro rio de janeiro,Formato sequencial
VAR000059,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"PRAÇA DO OUVIDOR, 2748, CENTRO",Formato completo
VAR000060,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"praça do ouvidor, 2748",Minúsculas
VAR000061,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"praça do ouvidor, 2748, loja 2",Com complemento
VAR000062,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,praça do ouvidor 2748 centro,Sem pontuação
VAR000063,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"PRAÇA DO OUVIDOR, 2748, CENTRO",Formato completo
VAR000064,UID_DO_OUVIDOR_0007,PRAÇA,DO OUVIDOR,2748,CENTRO,Rio de Janeiro,RJ,"praça do ouvidor, 2748",Numeral por extenso
VAR000065,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Abreviação com ponto
VAR000066,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469, próximo ao mercado",Com referência local
VAR000067,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Numeral romano
VAR000068,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Minúsculas
VAR000069,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Numeral romano
VAR000070,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,avenida tupis 4469 centro,Sem pontuação
VAR000071,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469, loja 1",Com complemento
VAR000072,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"Av. tupis, 4469",Abreviação com ponto
VAR000073,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Numeral romano
VAR000074,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Minúsculas
VAR000075,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Numeral por extenso
VAR000076,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,avenida tupis 4469 centro belo horizonte,Formato sequencial
VAR000077,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469, loja 1",Com complemento
VAR000078,UID_TUPIS_0008,AVENIDA,TUPIS,4469,CENTRO,Belo Horizonte,MG,"avenida tupis, 4469",Numeral por extenso
VAR000079,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Minúsculas
VAR000080,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral por extenso
VAR000081,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral romano
VAR000082,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral romano
VAR000083,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral por extenso
VAR000084,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758, próximo ao mercado",Com referência local
VAR000085,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758, bloco B",Com complemento
VAR000086,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral por extenso
VAR000087,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"LARGO MARQUES DE ITU, 758, VILA BUARQUE",Formato completo
VAR000088,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,largo marques de itu 758 vila buarque são paulo,Formato sequencial
VAR000089,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,largo marques de itu 758 vila buarque,Sem pontuação
VAR000090,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"LARGO MARQUES DE ITU, 758, VILA BUARQUE",Formato completo
VAR000091,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,"largo marques de itu, 758",Numeral romano
VAR000092,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,largo marques de itu 758 vila buarque são paulo,Formato sequencial
VAR000093,UID_MARQUES_DE_ITU_0009,LARGO,MARQUES DE ITU,758,VILA BUARQUE,São Paulo,SP,largo marques de itu 758 vila buarque são paulo,Formato sequencial
VAR000094,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Numeral romano
VAR000095,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"RUA atlantica, 547",Abreviação com ponto
VAR000096,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"Rua atlantica, 547",Abreviação com ponto
VAR000097,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Numeral romano
VAR000098,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Numeral romano
VAR000099,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Numeral romano
VAR000100,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,rua atlantica 547 copacabana rio de janeiro,Formato sequencial
VAR000101,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,rua atlantica 547 copacabana,Sem pontuação
VAR000102,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Minúsculas
VAR000103,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Numeral por extenso
VAR000104,UID_ATLANTICA_0010,RUA,ATLANTICA,547,COPACABANA,Rio de Janeiro,RJ,"rua atlantica, 547",Minúsculas
VAR000105,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,"avenida boa viagem, 3449",Numeral por extenso
VAR000106,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,"AVENIDA BOA VIAGEM, 3449",Maiúsculas
VAR000107,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,"avenida boa viagem, 3449, ao lado da escola",Com referência local
VAR000108,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,"avenida boa viagem, 3449, apto 301",Com complemento
VAR000109,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,avenida boa viagem 3449 boa viagem recife,Formato sequencial
VAR000110,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,"avenida boa viagem, 3449",Abreviação com ponto
VAR000111,UID_BOA_VIAGEM_0011,AVENIDA,BOA VIAGEM,3449,BOA VIAGEM,Recife,PE,avenida boa viagem 3449 boa viagem,Sem pontuação
VAR000112,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296, sala 20",Com complemento
VAR000113,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296",Minúsculas
VAR000114,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296",Numeral romano
VAR000115,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296",Numeral romano
VAR000116,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296",Minúsculas
VAR000117,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"VIELA da aurora, 3296",Abreviação com ponto
VAR000118,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"VIELA DA AURORA, 3296, BOA VISTA",Formato completo
VAR000119,UID_DA_AURORA_0012,VIELA,DA AURORA,3296,BOA VISTA,Recife,PE,"viela da aurora, 3296",Numeral por extenso
VAR000120,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,largo quinze de novembro 4827 centro são paulo,Formato sequencial
VAR000121,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827, ",Com complemento
VAR000122,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,largo quinze de novembro 4827 centro,Sem pontuação
VAR000123,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827",Numeral por extenso
VAR000124,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827, ",Com referência local
VAR000125,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"LARGO QUINZE DE NOVEMBRO, 4827, CENTRO",Formato completo
VAR000126,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827",Minúsculas
VAR000127,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827",Numeral romano
VAR000128,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827",Numeral por extenso
VAR000129,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"LARGO quinze de novembro, 4827",Abreviação com ponto
VAR000130,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"largo quinze de novembro, 4827, bloco A",Com complemento
VAR000131,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"LARGO QUINZE DE NOVEMBRO, 4827",Maiúsculas
VAR000132,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,largo quinze de novembro 4827 centro,Sem pontuação
VAR000133,UID_QUINZE_DE_NOVEMBRO_0013,LARGO,QUINZE DE NOVEMBRO,4827,CENTRO,São Paulo,SP,"LARGO QUINZE DE NOVEMBRO, 4827",Maiúsculas
VAR000134,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica são paulo,Formato sequencial
VAR000135,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica,Sem pontuação
VAR000136,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350, ",Com referência local
VAR000137,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"PRAÇA IPIRANGA, 350, REPUBLICA",Formato completo
VAR000138,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica são paulo,Formato sequencial
VAR000139,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350",Minúsculas
VAR000140,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350",Minúsculas
VAR000141,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350, apto 101",Com complemento
VAR000142,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica,Sem pontuação
VAR000143,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica,Sem pontuação
VAR000144,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350",Minúsculas
VAR000145,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"PRAÇA IPIRANGA, 350",Maiúsculas
VAR000146,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,praça ipiranga 350 republica são paulo,Formato sequencial
VAR000147,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"PRAÇA IPIRANGA, 350",Maiúsculas
VAR000148,UID_IPIRANGA_0014,PRAÇA,IPIRANGA,350,REPUBLICA,São Paulo,SP,"praça ipiranga, 350",Numeral por extenso
VAR000149,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"Est. uruguaiana, 3437",Abreviação com ponto
VAR000150,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437, loja 2",Com complemento
VAR000151,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437",Minúsculas
VAR000152,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,estrada uruguaiana 3437 centro,Sem pontuação
VAR000153,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437",Numeral por extenso
VAR000154,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437",Numeral por extenso
VAR000155,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437, ",Com referência local
VAR000156,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"ESTRADA URUGUAIANA, 3437",Maiúsculas
VAR000157,UID_URUGUAIANA_0015,ESTRADA,URUGUAIANA,3437,CENTRO,Rio de Janeiro,RJ,"estrada uruguaiana, 3437",Minúsculas
VAR000158,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"VIELA MARQUES DE ITU, 808",Maiúsculas
VAR000159,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"viela marques de itu, 808",Numeral por extenso
VAR000160,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"viela marques de itu, 808",Numeral romano
VAR000161,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"viela marques de itu, 808",Minúsculas
VAR000162,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"viela marques de itu, 808, ",Com complemento
VAR000163,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"VIELA MARQUES DE ITU, 808, VILA BUARQUE",Formato completo
VAR000164,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"viela marques de itu, 808, perto da praça",Com referência local
VAR000165,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"VIELA MARQUES DE ITU, 808",Maiúsculas
VAR000166,UID_MARQUES_DE_ITU_0016,VIELA,MARQUES DE ITU,808,VILA BUARQUE,São Paulo,SP,"VIELA MARQUES DE ITU, 808",Maiúsculas
