id,endereco_livre,uf,cidade,timestamp
20,"ALAMEDA W3 SUL, 4533, , ASA SUL, Brasília",DF,Brasília,2025-11-04 21:42:34
21,"Alameda w3 norte, 2787",DF,Brasília,2025-11-13 15:20:34
22,"ALAMEDA DO OUVIDOR, 4101, apto 201, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-10 16:54:34
23,"travessa marques de itu, 1253, vila buarque",SP,São Paulo,2025-11-02 15:15:34
24,"rua w3 sul, 4907, asa sul",DF,Brasília,2025-11-11 20:42:34
25,"Al conde da boa vista, 1962",PE,Recife,2025-10-29 02:44:34
26,"LARGO RIO BRANCO, 567, bloco A, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-02 16:41:34
27,"entregar na estrada dos andradas, 2172 ao lado da escola, centro",RS,Porto Alegre,2025-11-13 13:50:34
28,"TRAVESSA W3 NORTE, 2554, ASA NORTE",DF,Brasília,2025-11-05 00:26:34
29,"LARGO BAHIA, 992, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-19 18:28:34
30,"TRAVESSA DAS FLORES, 4821, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-26 18:04:34
31,"Travessa oswaldo cruz, 553",RJ,Rio de Janeiro,2025-11-24 04:34:34
32,"entregar na largo vinte e tres de maio, 1756 perto da praça, liberdade",SP,São Paulo,2025-11-03 02:13:34
33,"TRAVESSA DOS ANDRADAS, 3875, loja 1, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-20 17:43:34
34,"PRAÇA AMAZONAS, 3470, CENTRO",MG,Belo Horizonte,2025-11-11 21:46:34
35,"RUA PRESIDENTE VARGAS, 3299, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 17:34:34
36,"TRAVESSA REBOUCAS, 4394, PINHEIROS",SP,São Paulo,2025-11-22 07:38:34
37,"LARGO VINTE E TRES DE MAIO, 2047, apto 101, LIBERDADE, São Paulo",SP,São Paulo,2025-11-12 03:43:34
38,"RUA OSWALDO CRUZ, 765, apto 301, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-21 07:18:34
39,"Tv dos andradas, 3286",RS,Porto Alegre,2025-11-14 20:25:34
40,"LARGO NOVE DE JULHO, 2337, REPUBLICA",SP,São Paulo,2025-11-03 20:59:34
41,"LARGO EIXO MONUMENTAL, 1269, ASA NORTE, Brasília",DF,Brasília,2025-11-17 14:46:34
42,"R. w3 norte, 2570",DF,Brasília,2025-11-08 05:17:34
43,"entregar na estrada w3 sul, 466 , asa sul",DF,Brasília,2025-10-30 15:45:34
44,"Tv copacabana, 3308",RJ,Rio de Janeiro,2025-11-08 01:47:34
45,"entregar na viela rio branco, 4782 ao lado da escola, centro",RJ,Rio de Janeiro,2025-11-16 12:36:34
46,"TRAVESSA BOA VIAGEM, 2176, BOA VIAGEM",PE,Recife,2025-11-21 23:08:34
47,"LARGO MARQUES DE ITU, 2591, apto 101, VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-26 06:10:34
48,"AVENIDA PRESIDENTE VARGAS, 4405, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-10 12:41:34
49,"avenida da aurora, 2002, boa vista",PE,Recife,2025-11-17 15:21:34
50,"Alameda w3 norte, 4334",DF,Brasília,2025-10-27 23:43:34
51,"Al uruguaiana, 946",RJ,Rio de Janeiro,2025-11-18 11:11:34
52,"PRAÇA CONSOLACAO, 1668, perto do metrô, CONSOLACAO, São Paulo",SP,São Paulo,2025-10-30 12:17:34
53,"alameda borges de medeiros, 417",RS,Porto Alegre,2025-10-31 12:47:34
54,"PRAÇA DO OUVIDOR, 1072, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-20 21:21:34
55,"VIELA eixo monumental, 4595",DF,Brasília,2025-11-23 21:52:34
56,"entregar na rua setembro, 3025 ao lado da escola, centro",RJ,Rio de Janeiro,2025-11-22 07:41:34
57,"ALAMEDA ATLANTICA, 2988, , COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-29 09:36:34
58,"AVENIDA IPIRANGA, 2898, bloco A, REPUBLICA, São Paulo",SP,São Paulo,2025-10-29 07:10:34
59,"TRAVESSA SETEMBRO, 1332, apto 201, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-29 07:48:34
60,"PRAÇA QUINZE DE NOVEMBRO, 3373, apto 301, CENTRO, São Paulo",SP,São Paulo,2025-11-18 14:59:34
61,"VIELA PRESIDENTE VARGAS, 318, loja 2, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-19 13:57:34
62,"PRAÇA TUPIS, 2501, apto 301, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-19 20:07:34
63,"viela reboucas, 2690, pinheiros",SP,São Paulo,2025-10-30 18:00:34
64,"PRAÇA VINTE E TRES DE MAIO, 4174, LIBERDADE",SP,São Paulo,2025-11-05 03:28:34
65,"AVENIDA DAS FLORES, 2140, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-08 12:47:34
66,"VIELA PRESIDENTE VARGAS, 2832, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-13 01:17:34
67,"VIELA PRIMEIRO DE MARÇO, 4724, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-18 19:04:34
68,"RUA AMAZONAS, 4260, bloco A, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-04 21:02:34
69,"Praça reboucas, 3534",SP,São Paulo,2025-11-07 10:07:34
70,"alameda primeiro de março, 4155, centro",RJ,Rio de Janeiro,2025-11-05 07:29:34
71,"ALAMEDA AGAMENON MAGALHAES, 4542, DERBY, Recife",PE,Recife,2025-11-20 07:07:34
72,"estrada do comercio, 4663, sao jose",PE,Recife,2025-11-14 02:56:34
73,"ALAMEDA DO OUVIDOR, 2351, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-13 02:11:34
74,"LARGO BOA VIAGEM, 3620, BOA VIAGEM",PE,Recife,2025-11-05 14:17:34
75,"estrada dos andradas, 695, centro",RS,Porto Alegre,2025-11-09 23:09:34
76,"AVENIDA BOAVISTA, 1925, próximo ao mercado, BOA VIAGEM, Recife",PE,Recife,2025-11-19 14:40:34
77,"RUA DAS FLORES, 2006, JARDIM",RJ,Rio de Janeiro,2025-11-07 18:20:34
78,"TRAVESSA AFONSO PENA, 3146, CENTRO",MG,Belo Horizonte,2025-11-14 13:40:34
79,"AVENIDA DO OUVIDOR, 3483, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-20 22:16:34
80,"RUA TUPIS, 4567, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-28 17:20:34
81,"entregar na largo uruguaiana, 4352 ao lado da escola, centro",RJ,Rio de Janeiro,2025-11-16 06:10:34
82,"VIELA PROTASIO ALVES, 4489, PETROPOLIS",RS,Porto Alegre,2025-10-29 15:02:34
83,"LARGO DOS ANDRADAS, 2124, apto 301, CENTRO, Porto Alegre",RS,Porto Alegre,2025-10-31 00:32:34
84,"largo w3 sul, 1960, asa sul",DF,Brasília,2025-11-12 18:04:34
85,"travessa sao joao, 2226, republica",SP,São Paulo,2025-11-16 03:44:34
86,"ESTRADA URUGUAIANA, 1895, CENTRO",RJ,Rio de Janeiro,2025-11-04 16:04:34
87,"AVENIDA CONSOLACAO, 3399, CONSOLACAO",SP,São Paulo,2025-11-16 03:20:34
88,"RUA AFONSO PENA, 1695, loja 1, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-14 02:05:34
89,"VIELA das flores, 3908",RJ,Rio de Janeiro,2025-11-17 07:55:34
90,"TRAVESSA AFONSO PENA, 4000, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-18 07:18:34
91,"VIELA DAS FLORES, 2754, perto do metrô, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 08:03:34
92,"entregar na largo paulista, 1046 ao lado da escola, bela vista",SP,São Paulo,2025-11-26 08:12:34
93,"AVENIDA DAS FLORES, 3512, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-30 06:38:34
94,"alameda oswaldo cruz, 3106, botafogo",RJ,Rio de Janeiro,2025-11-20 06:29:34
95,"VIELA BOAVISTA, 2280, loja 1, BOA VIAGEM, Recife",PE,Recife,2025-11-18 18:19:34
96,"RUA DAS FLORES, 2867, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-06 18:00:34
97,"RUA ATLANTICA, 2026, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-31 20:10:34
98,"TRAVESSA SETEMBRO, 1035, CENTRO",RJ,Rio de Janeiro,2025-11-05 17:13:34
99,"LARGO CONSOLACAO, 2100, sala 20, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-21 01:11:34
100,"Est. primeiro de março, 2549",RJ,Rio de Janeiro,2025-10-28 11:13:34
101,"VIELA do comercio, 1625",PE,Recife,2025-11-22 22:00:34
102,"AVENIDA MARQUES DE ITU, 4637, , VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-15 03:22:34
103,"AVENIDA CONDE DA BOA VISTA, 4145, próximo ao mercado, DERBY, Recife",PE,Recife,2025-11-26 06:57:34
104,"avenida borges de medeiros, 3552, centro",RS,Porto Alegre,2025-11-06 06:04:34
105,"VIELA SETEMBRO, 1443, ao lado da escola, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-27 00:32:34
106,"LARGO W3 NORTE, 3809, ASA NORTE",DF,Brasília,2025-10-30 21:12:34
107,"PRAÇA VINTE E TRES DE MAIO, 2012, apto 101, LIBERDADE, São Paulo",SP,São Paulo,2025-11-18 06:34:34
108,"VIELA tupis, 2756",MG,Belo Horizonte,2025-10-30 10:38:34
109,"TRAVESSA BORGES DE MEDEIROS, 2907, sala 10, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-16 11:53:34
110,"RUA VINTE E TRES DE MAIO, 4233, LIBERDADE, São Paulo",SP,São Paulo,2025-11-24 13:03:34
111,"LARGO AFONSO PENA, 4549, apto 301, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-04 05:08:34
112,"LARGO borges de medeiros, 142",RS,Porto Alegre,2025-11-19 08:05:34
113,"alameda ipiranga, 4765, republica",SP,São Paulo,2025-11-11 03:16:34
114,"viela da aurora, 4509, boa vista",PE,Recife,2025-11-14 22:20:34
115,"ALAMEDA VINTE E TRES DE MAIO, 2060, LIBERDADE, São Paulo",SP,São Paulo,2025-11-22 21:37:34
116,"AVENIDA BOA VIAGEM, 4390, apto 201, BOA VIAGEM, Recife",PE,Recife,2025-11-20 14:02:34
117,"ALAMEDA DOS ANDRADAS, 4830, bloco A, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-07 11:43:34
118,"alameda reboucas, 1864, pinheiros",SP,São Paulo,2025-11-21 11:49:34
119,"Est. w3 norte, 2248",DF,Brasília,2025-11-09 11:05:34
120,"LARGO URUGUAIANA, 841, , CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-08 11:19:34
121,"LARGO DOS ANDRADAS, 2792, CENTRO, Porto Alegre",RS,Porto Alegre,2025-10-27 19:33:34
122,"AVENIDA DOS ANDRADAS, 536, CENTRO",RS,Porto Alegre,2025-11-11 18:13:34
123,"ESTRADA OSWALDO CRUZ, 1223, bloco B, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-27 11:44:34
124,"AVENIDA IPIRANGA, 4572, loja 1, REPUBLICA, São Paulo",SP,São Paulo,2025-11-07 00:59:34
125,"VIELA BRIGADEIRO FARIA LIMA, 3691, ITAM BIBI",SP,São Paulo,2025-11-17 02:22:34
126,"RUA MARQUES DE ITU, 4995, , VILA BUARQUE, São Paulo",SP,São Paulo,2025-10-27 14:09:34
127,"ALAMEDA CONSOLACAO, 666, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-19 15:14:34
128,"ESTRADA COPACABANA, 22, COPACABANA",RJ,Rio de Janeiro,2025-11-11 22:11:34
129,"ALAMEDA DOS ANDRADAS, 268, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-16 22:31:34
130,"avenida tupis, 1913, centro",MG,Belo Horizonte,2025-11-01 00:12:34
131,"entregar na viela reboucas, 941 perto da praça, pinheiros",SP,São Paulo,2025-11-06 15:51:34
132,"Est vinte e tres de maio, 585",SP,São Paulo,2025-11-01 11:11:34
133,"LARGO SAO JOAO, 1019, REPUBLICA",SP,São Paulo,2025-11-04 11:05:34
134,"entregar na alameda agamenon magalhaes, 4100 em frente ao banco, derby",PE,Recife,2025-11-12 18:11:34
135,"entregar na viela atlantica, 2641 próximo ao mercado, copacabana",RJ,Rio de Janeiro,2025-11-26 18:35:34
136,"Al das flores, 4721",RJ,Rio de Janeiro,2025-11-11 04:08:34
137,"entregar na alameda bahia, 1487 em frente ao banco, centro",MG,Belo Horizonte,2025-11-06 05:44:34
138,"praça dos andradas, 3346, centro",RS,Porto Alegre,2025-11-15 23:43:34
139,"PRAÇA PAULISTA, 3373, em frente ao banco, BELA VISTA, São Paulo",SP,São Paulo,2025-11-16 23:24:34
140,"Rua eixo monumental, 3726",DF,Brasília,2025-11-18 10:42:34
141,"RUA AGAMENON MAGALHAES, 4445, DERBY",PE,Recife,2025-11-13 19:37:34
142,"PRAÇA W3 SUL, 4084, em frente ao banco, ASA SUL, Brasília",DF,Brasília,2025-11-02 19:36:34
143,"ESTRADA VINTE E TRES DE MAIO, 2360, LIBERDADE",SP,São Paulo,2025-10-28 22:18:34
144,"RUA PRIMEIRO DE MARÇO, 4988, apto 301, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-04 15:30:34
145,"RUA EIXO MONUMENTAL, 4525, ASA NORTE",DF,Brasília,2025-11-24 12:56:34
146,"LARGO PRIMEIRO DE MARÇO, 963, perto da praça, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-10 22:31:34
147,"ALAMEDA PROTASIO ALVES, 3404, loja 2, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-11 13:20:34
148,"ESTRADA EIXO MONUMENTAL, 3143, ASA NORTE, Brasília",DF,Brasília,2025-10-28 01:17:34
149,"AVENIDA URUGUAIANA, 2264, loja 1, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-16 04:32:34
150,"ALAMEDA DO OUVIDOR, 2446, bloco B, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-07 23:18:34
151,"LARGO SETEMBRO, 4413, CENTRO",RJ,Rio de Janeiro,2025-11-15 10:14:34
152,"viela w3 norte, 3731, asa norte",DF,Brasília,2025-10-30 14:05:34
153,"VIELA IPIRANGA, 1914, loja 1, REPUBLICA, São Paulo",SP,São Paulo,2025-11-25 10:02:34
154,"VIELA DOS ANDRADAS, 3163, perto do metrô, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-22 05:47:34
155,"PRAÇA URUGUAIANA, 823, loja 2, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-23 03:51:34
156,"RUA TUPIS, 1181, CENTRO",MG,Belo Horizonte,2025-10-30 00:40:34
157,"largo copacabana, 2172, copacabana",RJ,Rio de Janeiro,2025-11-06 22:24:34
158,"PRAÇA RIO BRANCO, 4372, CENTRO",RJ,Rio de Janeiro,2025-10-27 10:09:34
159,"RUA BORGES DE MEDEIROS, 561, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-05 22:51:34
160,"TRAVESSA SAO JOAO, 741, REPUBLICA",SP,São Paulo,2025-11-23 00:04:34
161,"LARGO PRESIDENTE VARGAS, 1363, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-29 20:47:34
162,"rua boa viagem, 2404, boa viagem",PE,Recife,2025-11-15 07:40:34
163,"VIELA IPIRANGA, 4637, perto da praça, REPUBLICA, São Paulo",SP,São Paulo,2025-11-21 15:44:34
164,"entregar na travessa do comercio, 4077 perto da praça, sao jose",PE,Recife,2025-11-19 06:09:34
165,"LARGO NOVE DE JULHO, 2092, , REPUBLICA, São Paulo",SP,São Paulo,2025-10-29 05:52:34
166,"ESTRADA SAO JOAO, 606, REPUBLICA",SP,São Paulo,2025-10-27 09:12:34
167,"VIELA MARQUES DE ITU, 2049, VILA BUARQUE",SP,São Paulo,2025-10-30 11:37:34
168,"LARGO DO COMERCIO, 874, SAO JOSE, Recife",PE,Recife,2025-11-14 02:27:34
169,"ALAMEDA SAO JOAO, 180, loja 1, REPUBLICA, São Paulo",SP,São Paulo,2025-11-18 20:13:34
170,"LARGO OSWALDO CRUZ, 2345, apto 301, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-07 09:35:34
171,"ALAMEDA REBOUCAS, 1121, , PINHEIROS, São Paulo",SP,São Paulo,2025-10-29 00:08:34
172,"Alameda atlantica, 3612",RJ,Rio de Janeiro,2025-11-03 16:44:34
173,"PRAÇA SAO JOAO, 3404, REPUBLICA, São Paulo",SP,São Paulo,2025-11-20 15:59:34
174,"entregar na praça w3 norte, 4349 próximo ao mercado, asa norte",DF,Brasília,2025-10-31 15:33:34
175,"ALAMEDA DOS ANDRADAS, 2775, apto 101, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-12 18:40:34
176,"viela brigadeiro faria lima, 4566, itam bibi",SP,São Paulo,2025-11-24 08:49:34
177,"avenida nove de julho, 3726, republica",SP,São Paulo,2025-11-04 21:06:34
178,"VIELA nove de julho, 3044",SP,São Paulo,2025-11-11 20:10:34
179,"PRAÇA EIXO MONUMENTAL, 4998, ASA NORTE, Brasília",DF,Brasília,2025-11-06 18:09:34
180,"Al tupis, 3345",MG,Belo Horizonte,2025-11-25 19:30:34
181,"AVENIDA BORGES DE MEDEIROS, 797, CENTRO, Porto Alegre",RS,Porto Alegre,2025-10-29 03:41:34
182,"LARGO DO COMERCIO, 3040, perto do metrô, SAO JOSE, Recife",PE,Recife,2025-11-04 03:23:34
183,"VIELA SETEMBRO, 812, loja 2, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-07 07:32:34
184,"PRAÇA ATLANTICA, 1780, COPACABANA",RJ,Rio de Janeiro,2025-11-12 12:55:34
185,"entregar na avenida conde da boa vista, 3010 perto do metrô, derby",PE,Recife,2025-11-15 19:24:34
186,"TRAVESSA VINTE E TRES DE MAIO, 1001, loja 2, LIBERDADE, São Paulo",SP,São Paulo,2025-11-23 23:36:34
187,"RUA DAS FLORES, 2733, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-22 02:36:34
188,"TRAVESSA COPACABANA, 4804, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-31 13:28:34
189,"RUA SETEMBRO, 2272, apto 201, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-22 03:33:34
190,"AVENIDA QUINZE DE NOVEMBRO, 212, CENTRO, São Paulo",SP,São Paulo,2025-11-26 08:59:34
191,"PRAÇA IPIRANGA, 130, REPUBLICA, São Paulo",SP,São Paulo,2025-11-18 19:41:34
192,"AVENIDA AFONSO PENA, 521, CENTRO",MG,Belo Horizonte,2025-11-12 09:17:34
193,"LARGO PRESIDENTE VARGAS, 4128, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-27 01:47:34
194,"ALAMEDA W3 SUL, 3753, , ASA SUL, Brasília",DF,Brasília,2025-11-25 04:55:34
195,"VIELA AGAMENON MAGALHAES, 885, DERBY",PE,Recife,2025-11-04 06:45:34
196,"PRAÇA RIO BRANCO, 4984, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-24 16:32:34
197,"entregar na praça eixo monumental, 3121 ao lado da escola, asa norte",DF,Brasília,2025-11-17 06:17:34
198,"AVENIDA AMAZONAS, 938, bloco A, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-03 14:22:34
199,"travessa bahia, 3390, centro",MG,Belo Horizonte,2025-10-31 06:24:34
200,"AVENIDA AFONSO PENA, 2561, CENTRO",MG,Belo Horizonte,2025-11-15 23:33:34
201,"Est. conde da boa vista, 3886",PE,Recife,2025-10-31 18:44:34
202,"AVENIDA AMAZONAS, 3053, apto 201, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-09 19:12:34
203,"PRAÇA EIXO MONUMENTAL, 1002, ASA NORTE",DF,Brasília,2025-11-14 23:01:34
204,"entregar na rua amazonas, 2357 próximo ao mercado, centro",MG,Belo Horizonte,2025-11-15 17:13:34
205,"TRAVESSA PROTASIO ALVES, 1268, em frente ao banco, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-19 17:27:34
206,"PRAÇA EIXO MONUMENTAL, 942, sala 10, ASA NORTE, Brasília",DF,Brasília,2025-11-08 12:58:34
207,"RUA AMAZONAS, 4989, perto do metrô, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-18 20:38:34
208,"alameda vinte e tres de maio, 2784, liberdade",SP,São Paulo,2025-11-26 14:54:34
209,"VIELA SETEMBRO, 571, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 00:48:34
210,"TRAVESSA RIO BRANCO, 3082, CENTRO",RJ,Rio de Janeiro,2025-11-12 10:39:34
211,"ALAMEDA CONDE DA BOA VISTA, 2658, bloco B, DERBY, Recife",PE,Recife,2025-11-07 17:53:34
212,"ESTRADA OSWALDO CRUZ, 1290, bloco B, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-24 23:44:34
213,"LARGO VINTE E TRES DE MAIO, 3474, LIBERDADE",SP,São Paulo,2025-11-07 06:23:34
214,"Travessa vinte e tres de maio, 4198",SP,São Paulo,2025-11-13 17:31:34
215,"ALAMEDA BORGES DE MEDEIROS, 373, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-14 01:46:34
216,"TRAVESSA DO OUVIDOR, 2470, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-02 16:01:34
217,"Al. nove de julho, 2688",SP,São Paulo,2025-11-10 21:22:34
218,"entregar na estrada quinze de novembro, 3115 perto do metrô, centro",SP,São Paulo,2025-11-19 04:14:34
219,"AVENIDA DA AURORA, 3253, , BOA VISTA, Recife",PE,Recife,2025-11-13 20:20:34
220,"PRAÇA COPACABANA, 4717, COPACABANA",RJ,Rio de Janeiro,2025-11-08 08:04:34
221,"ALAMEDA AFONSO PENA, 944, CENTRO",MG,Belo Horizonte,2025-11-26 10:39:34
222,"PRAÇA TUPIS, 722, CENTRO",MG,Belo Horizonte,2025-10-30 17:34:34
223,"VIELA amazonas, 4293",MG,Belo Horizonte,2025-10-30 11:02:34
224,"TRAVESSA BOAVISTA, 2729, apto 201, BOA VIAGEM, Recife",PE,Recife,2025-11-24 04:09:34
225,"travessa primeiro de março, 2863, centro",RJ,Rio de Janeiro,2025-11-02 23:57:34
226,"TRAVESSA SETEMBRO, 843, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-18 14:38:34
227,"AVENIDA SETEMBRO, 1452, loja 2, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-12 02:01:34
228,"PRAÇA BAHIA, 2590, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-12 18:19:34
229,"entregar na alameda bahia, 2251 , centro",MG,Belo Horizonte,2025-11-15 04:45:34
230,"LARGO marques de itu, 3703",SP,São Paulo,2025-11-15 11:45:34
231,"entregar na viela rio branco, 3791 ao lado da escola, centro",RJ,Rio de Janeiro,2025-10-26 20:52:34
232,"LARGO ATLANTICA, 4684, perto da praça, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-16 01:19:34
233,"ESTRADA PROTASIO ALVES, 507, PETROPOLIS",RS,Porto Alegre,2025-11-23 10:04:34
234,"ESTRADA RIO BRANCO, 321, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-04 06:21:34
235,"estrada w3 sul, 2982, asa sul",DF,Brasília,2025-10-28 11:25:34
236,"Praça afonso pena, 4898",MG,Belo Horizonte,2025-11-24 10:43:34
237,"viela eixo monumental, 2328, asa norte",DF,Brasília,2025-11-02 22:51:34
238,"entregar na praça setembro, 668 perto do metrô, centro",RJ,Rio de Janeiro,2025-11-22 09:30:34
239,"ESTRADA AGAMENON MAGALHAES, 4875, , DERBY, Recife",PE,Recife,2025-11-17 03:25:34
240,"estrada boavista, 4313",PE,Recife,2025-11-10 09:48:34
241,"ALAMEDA CONDE DA BOA VISTA, 1477, DERBY, Recife",PE,Recife,2025-11-16 05:37:34
242,"Estrada brigadeiro faria lima, 1270",SP,São Paulo,2025-10-30 17:17:34
243,"RUA W3 NORTE, 2759, bloco B, ASA NORTE, Brasília",DF,Brasília,2025-11-22 01:25:34
244,"ESTRADA SETEMBRO, 1482, bloco B, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 15:03:34
245,"rua bahia, 3366, centro",MG,Belo Horizonte,2025-11-04 21:34:34
246,"ALAMEDA BAHIA, 3678, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-09 13:30:34
247,"TRAVESSA DOS ANDRADAS, 3014, ao lado da escola, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-12 06:00:34
248,"entregar na viela sao joao, 4120 em frente ao banco, republica",SP,São Paulo,2025-10-27 14:57:34
249,"estrada reboucas, 2049",SP,São Paulo,2025-10-30 09:14:34
250,"av presidente vargas, 2336",RJ,Rio de Janeiro,2025-11-21 12:21:34
251,"Est protasio alves, 3584",RS,Porto Alegre,2025-10-31 05:53:34
252,"rua da aurora, 3399",PE,Recife,2025-11-10 09:34:34
